month,day,slp,maxtemp,avgtemp,mintemp,dewtemp,rh,cld,rf,sunhr,prewd,avgws,year
2,03,1022.0,17.2,15.8,14.7,12.0,78,84,  0.0,2.2,070,31.4,1990
2,04,1022.4,16.8,15.9,15.3,11.1,74,83,  0.0,3.1,080,36.2,1990
2,05,1021.4,18.2,16.9,15.6,12.6,76,83,  0.1,5.5,070,27.8,1990
2,06,1022.5,19.4,17.7,16.3,14.2,80,86,Trace,3.4,080,21.6,1990
2,07,1023.1,19.8,17.4,16.0,12.8,75,59,Trace,5.4,090,35.9,1990
2,08,1020.1,19.4,17.6,16.5,14.4,82,46,  0.0,7.7,090,25.5,1990
2,09,1017.6,21.3,18.6,16.5,15.8,84,32,  0.0,6.9,090,15.4,1990
2,10,1016.8,22.1,18.6,16.5,15.5,83,24,  0.0,10.0, 080#, 13.6#,1990
2,11,1019.1,19.1,17.8,16.7,14.4,81,59,Trace,5.2,080,31.7,1990
2,12,1020.0,20.9,18.5,16.9,15.8,85,37,  0.0,7.5,070,15.5,1990
2,13,1018.8,18.3,17.4,16.6,14.2,82,88,Trace,0.0,090,36.5,1990
2,14,1016.0,17.8,17.0,16.2,14.0,82,88,Trace,0.3,080,34.6,1990
2,15,1015.3,20.2,16.6,12.7,14.4,87,94,  3.3,0.2,360,24.9,1990
2,16,1019.5,14.5,12.9,10.4, 7.5,70,82,Trace,2.1, 010#, 27.2#,1990
2,17,1016.9,16.0,14.6,12.9,10.7,77,86,Trace,1.7,070,33.8,1990
2,18,1014.4,18.0,16.7,15.2,14.7,88,87,  1.3,0.2,080,25.8,1990
2,19,1018.5,18.0,15.9,13.5,14.6,92,99,  6.7,0.0,010,24.1,1990
2,20,1023.2,13.9,12.1,10.9, 9.5,84,98,  0.3,0.0,010,32.2,1990
2,21,1022.0,14.5,12.7,10.2,10.2,85,98,  0.6,0.0,060,24.5,1990
2,22,1021.0,15.4,14.0,12.0,11.6,85,100,  0.3,0.0, 010#, 24.1#,1990
2,23,1023.8,13.2,11.4, 8.9, 7.7,78,91,  1.6,0.0,360,35.6,1990
2,24,1022.2,15.5,13.5,11.4, 7.8,69,78,Trace,4.5,080,37.3,1990
2,25,1022.9,17.2,14.8,12.3,10.4,75,71,  0.9,6.8,070,31.3,1990
2,26,1023.6,18.3,15.9,14.4,11.9,77,82,Trace,3.1,080,31.4,1990
3,01,1016.1,17.4,16.1,14.6,14.5,90,98,  0.4,0.0,070,24.4,1990
3,02,1019.0,17.4,15.9,14.5,13.4,85,93,  3.0,0.3,010,24.9,1990
3,03,1022.0,17.2,15.8,14.7,12.0,78,84,  0.0,2.2,070,31.4,1990
3,04,1022.4,16.8,15.9,15.3,11.1,74,83,  0.0,3.1,080,36.2,1990
3,05,1021.4,18.2,16.9,15.6,12.6,76,83,  0.1,5.5,070,27.8,1990
3,06,1022.5,19.4,17.7,16.3,14.2,80,86,Trace,3.4,080,21.6,1990
3,07,1023.1,19.8,17.4,16.0,12.8,75,59,Trace,5.4,090,35.9,1990
3,08,1020.1,19.4,17.6,16.5,14.4,82,46,  0.0,7.7,090,25.5,1990
3,09,1017.6,21.3,18.6,16.5,15.8,84,32,  0.0,6.9,090,15.4,1990
3,10,1016.8,22.1,18.6,16.5,15.5,83,24,  0.0,10.0, 080#, 13.6#,1990
3,11,1019.1,19.1,17.8,16.7,14.4,81,59,Trace,5.2,080,31.7,1990
3,12,1020.0,20.9,18.5,16.9,15.8,85,37,  0.0,7.5,070,15.5,1990
3,13,1018.8,18.3,17.4,16.6,14.2,82,88,Trace,0.0,090,36.5,1990
3,14,1016.0,17.8,17.0,16.2,14.0,82,88,Trace,0.3,080,34.6,1990
3,15,1015.3,20.2,16.6,12.7,14.4,87,94,  3.3,0.2,360,24.9,1990
3,16,1019.5,14.5,12.9,10.4, 7.5,70,82,Trace,2.1, 010#, 27.2#,1990
3,17,1016.9,16.0,14.6,12.9,10.7,77,86,Trace,1.7,070,33.8,1990
3,18,1014.4,18.0,16.7,15.2,14.7,88,87,  1.3,0.2,080,25.8,1990
3,19,1018.5,18.0,15.9,13.5,14.6,92,99,  6.7,0.0,010,24.1,1990
3,20,1023.2,13.9,12.1,10.9, 9.5,84,98,  0.3,0.0,010,32.2,1990
3,21,1022.0,14.5,12.7,10.2,10.2,85,98,  0.6,0.0,060,24.5,1990
3,22,1021.0,15.4,14.0,12.0,11.6,85,100,  0.3,0.0, 010#, 24.1#,1990
3,23,1023.8,13.2,11.4, 8.9, 7.7,78,91,  1.6,0.0,360,35.6,1990
3,24,1022.2,15.5,13.5,11.4, 7.8,69,78,Trace,4.5,080,37.3,1990
3,25,1022.9,17.2,14.8,12.3,10.4,75,71,  0.9,6.8,070,31.3,1990
3,26,1023.6,18.3,15.9,14.4,11.9,77,82,Trace,3.1,080,31.4,1990
3,27,1022.3,19.1,16.3,14.1,12.1,77,41,  0.0,9.6,080,23.1,1990
3,28,1019.6,20.2,17.8,16.0,13.4,75,82,Trace,1.2,050,17.5,1990
3,29,1018.9,20.0,18.0,16.5,17.0,94,97,  9.6,0.3, 020#, 19.4#,1990
4,01,1016.1,17.4,16.1,14.6,14.5,90,98,  0.4,0.0,070,24.4,1990
4,02,1019.0,17.4,15.9,14.5,13.4,85,93,  3.0,0.3,010,24.9,1990
4,03,1022.0,17.2,15.8,14.7,12.0,78,84,  0.0,2.2,070,31.4,1990
4,04,1022.4,16.8,15.9,15.3,11.1,74,83,  0.0,3.1,080,36.2,1990
4,05,1021.4,18.2,16.9,15.6,12.6,76,83,  0.1,5.5,070,27.8,1990
4,06,1022.5,19.4,17.7,16.3,14.2,80,86,Trace,3.4,080,21.6,1990
4,07,1023.1,19.8,17.4,16.0,12.8,75,59,Trace,5.4,090,35.9,1990
4,08,1020.1,19.4,17.6,16.5,14.4,82,46,  0.0,7.7,090,25.5,1990
4,09,1017.6,21.3,18.6,16.5,15.8,84,32,  0.0,6.9,090,15.4,1990
4,10,1016.8,22.1,18.6,16.5,15.5,83,24,  0.0,10.0, 080#, 13.6#,1990
4,11,1019.1,19.1,17.8,16.7,14.4,81,59,Trace,5.2,080,31.7,1990
4,12,1020.0,20.9,18.5,16.9,15.8,85,37,  0.0,7.5,070,15.5,1990
4,13,1018.8,18.3,17.4,16.6,14.2,82,88,Trace,0.0,090,36.5,1990
4,14,1016.0,17.8,17.0,16.2,14.0,82,88,Trace,0.3,080,34.6,1990
4,15,1015.3,20.2,16.6,12.7,14.4,87,94,  3.3,0.2,360,24.9,1990
4,16,1019.5,14.5,12.9,10.4, 7.5,70,82,Trace,2.1, 010#, 27.2#,1990
4,17,1016.9,16.0,14.6,12.9,10.7,77,86,Trace,1.7,070,33.8,1990
4,18,1014.4,18.0,16.7,15.2,14.7,88,87,  1.3,0.2,080,25.8,1990
4,19,1018.5,18.0,15.9,13.5,14.6,92,99,  6.7,0.0,010,24.1,1990
4,20,1023.2,13.9,12.1,10.9, 9.5,84,98,  0.3,0.0,010,32.2,1990
4,21,1022.0,14.5,12.7,10.2,10.2,85,98,  0.6,0.0,060,24.5,1990
4,22,1021.0,15.4,14.0,12.0,11.6,85,100,  0.3,0.0, 010#, 24.1#,1990
4,23,1023.8,13.2,11.4, 8.9, 7.7,78,91,  1.6,0.0,360,35.6,1990
4,24,1022.2,15.5,13.5,11.4, 7.8,69,78,Trace,4.5,080,37.3,1990
4,25,1022.9,17.2,14.8,12.3,10.4,75,71,  0.9,6.8,070,31.3,1990
4,26,1023.6,18.3,15.9,14.4,11.9,77,82,Trace,3.1,080,31.4,1990
4,27,1022.3,19.1,16.3,14.1,12.1,77,41,  0.0,9.6,080,23.1,1990
4,28,1019.6,20.2,17.8,16.0,13.4,75,82,Trace,1.2,050,17.5,1990
5,01,1016.1,17.4,16.1,14.6,14.5,90,98,  0.4,0.0,070,24.4,1990
5,02,1019.0,17.4,15.9,14.5,13.4,85,93,  3.0,0.3,010,24.9,1990
5,03,1022.0,17.2,15.8,14.7,12.0,78,84,  0.0,2.2,070,31.4,1990
5,04,1022.4,16.8,15.9,15.3,11.1,74,83,  0.0,3.1,080,36.2,1990
5,05,1021.4,18.2,16.9,15.6,12.6,76,83,  0.1,5.5,070,27.8,1990
5,06,1022.5,19.4,17.7,16.3,14.2,80,86,Trace,3.4,080,21.6,1990
5,07,1023.1,19.8,17.4,16.0,12.8,75,59,Trace,5.4,090,35.9,1990
5,08,1020.1,19.4,17.6,16.5,14.4,82,46,  0.0,7.7,090,25.5,1990
5,09,1017.6,21.3,18.6,16.5,15.8,84,32,  0.0,6.9,090,15.4,1990
5,10,1016.8,22.1,18.6,16.5,15.5,83,24,  0.0,10.0, 080#, 13.6#,1990
5,11,1019.1,19.1,17.8,16.7,14.4,81,59,Trace,5.2,080,31.7,1990
5,12,1020.0,20.9,18.5,16.9,15.8,85,37,  0.0,7.5,070,15.5,1990
5,13,1018.8,18.3,17.4,16.6,14.2,82,88,Trace,0.0,090,36.5,1990
5,14,1016.0,17.8,17.0,16.2,14.0,82,88,Trace,0.3,080,34.6,1990
5,15,1015.3,20.2,16.6,12.7,14.4,87,94,  3.3,0.2,360,24.9,1990
5,16,1019.5,14.5,12.9,10.4, 7.5,70,82,Trace,2.1, 010#, 27.2#,1990
5,17,1016.9,16.0,14.6,12.9,10.7,77,86,Trace,1.7,070,33.8,1990
5,18,1014.4,18.0,16.7,15.2,14.7,88,87,  1.3,0.2,080,25.8,1990
5,19,1018.5,18.0,15.9,13.5,14.6,92,99,  6.7,0.0,010,24.1,1990
5,20,1023.2,13.9,12.1,10.9, 9.5,84,98,  0.3,0.0,010,32.2,1990
5,21,1022.0,14.5,12.7,10.2,10.2,85,98,  0.6,0.0,060,24.5,1990
5,22,1021.0,15.4,14.0,12.0,11.6,85,100,  0.3,0.0, 010#, 24.1#,1990
5,23,1023.8,13.2,11.4, 8.9, 7.7,78,91,  1.6,0.0,360,35.6,1990
5,24,1022.2,15.5,13.5,11.4, 7.8,69,78,Trace,4.5,080,37.3,1990
5,25,1022.9,17.2,14.8,12.3,10.4,75,71,  0.9,6.8,070,31.3,1990
5,26,1023.6,18.3,15.9,14.4,11.9,77,82,Trace,3.1,080,31.4,1990
5,27,1022.3,19.1,16.3,14.1,12.1,77,41,  0.0,9.6,080,23.1,1990
5,28,1019.6,20.2,17.8,16.0,13.4,75,82,Trace,1.2,050,17.5,1990
5,29,1018.9,20.0,18.0,16.5,17.0,94,97,  9.6,0.3, 020#, 19.4#,1990
6,01,1016.1,17.4,16.1,14.6,14.5,90,98,  0.4,0.0,070,24.4,1990
6,02,1019.0,17.4,15.9,14.5,13.4,85,93,  3.0,0.3,010,24.9,1990
6,03,1022.0,17.2,15.8,14.7,12.0,78,84,  0.0,2.2,070,31.4,1990
6,04,1022.4,16.8,15.9,15.3,11.1,74,83,  0.0,3.1,080,36.2,1990
6,05,1021.4,18.2,16.9,15.6,12.6,76,83,  0.1,5.5,070,27.8,1990
6,06,1022.5,19.4,17.7,16.3,14.2,80,86,Trace,3.4,080,21.6,1990
6,07,1023.1,19.8,17.4,16.0,12.8,75,59,Trace,5.4,090,35.9,1990
6,08,1020.1,19.4,17.6,16.5,14.4,82,46,  0.0,7.7,090,25.5,1990
6,09,1017.6,21.3,18.6,16.5,15.8,84,32,  0.0,6.9,090,15.4,1990
6,10,1016.8,22.1,18.6,16.5,15.5,83,24,  0.0,10.0, 080#, 13.6#,1990
6,11,1019.1,19.1,17.8,16.7,14.4,81,59,Trace,5.2,080,31.7,1990
6,12,1020.0,20.9,18.5,16.9,15.8,85,37,  0.0,7.5,070,15.5,1990
6,13,1018.8,18.3,17.4,16.6,14.2,82,88,Trace,0.0,090,36.5,1990
6,14,1016.0,17.8,17.0,16.2,14.0,82,88,Trace,0.3,080,34.6,1990
6,15,1015.3,20.2,16.6,12.7,14.4,87,94,  3.3,0.2,360,24.9,1990
6,16,1019.5,14.5,12.9,10.4, 7.5,70,82,Trace,2.1, 010#, 27.2#,1990
6,17,1016.9,16.0,14.6,12.9,10.7,77,86,Trace,1.7,070,33.8,1990
6,18,1014.4,18.0,16.7,15.2,14.7,88,87,  1.3,0.2,080,25.8,1990
6,19,1018.5,18.0,15.9,13.5,14.6,92,99,  6.7,0.0,010,24.1,1990
6,20,1023.2,13.9,12.1,10.9, 9.5,84,98,  0.3,0.0,010,32.2,1990
6,21,1022.0,14.5,12.7,10.2,10.2,85,98,  0.6,0.0,060,24.5,1990
6,22,1021.0,15.4,14.0,12.0,11.6,85,100,  0.3,0.0, 010#, 24.1#,1990
6,23,1023.8,13.2,11.4, 8.9, 7.7,78,91,  1.6,0.0,360,35.6,1990
6,24,1022.2,15.5,13.5,11.4, 7.8,69,78,Trace,4.5,080,37.3,1990
6,25,1022.9,17.2,14.8,12.3,10.4,75,71,  0.9,6.8,070,31.3,1990
6,26,1023.6,18.3,15.9,14.4,11.9,77,82,Trace,3.1,080,31.4,1990
6,27,1022.3,19.1,16.3,14.1,12.1,77,41,  0.0,9.6,080,23.1,1990
6,28,1019.6,20.2,17.8,16.0,13.4,75,82,Trace,1.2,050,17.5,1990
7,01,1016.1,17.4,16.1,14.6,14.5,90,98,  0.4,0.0,070,24.4,1990
7,02,1019.0,17.4,15.9,14.5,13.4,85,93,  3.0,0.3,010,24.9,1990
7,03,1022.0,17.2,15.8,14.7,12.0,78,84,  0.0,2.2,070,31.4,1990
7,04,1022.4,16.8,15.9,15.3,11.1,74,83,  0.0,3.1,080,36.2,1990
7,05,1021.4,18.2,16.9,15.6,12.6,76,83,  0.1,5.5,070,27.8,1990
7,06,1022.5,19.4,17.7,16.3,14.2,80,86,Trace,3.4,080,21.6,1990
7,07,1023.1,19.8,17.4,16.0,12.8,75,59,Trace,5.4,090,35.9,1990
7,08,1020.1,19.4,17.6,16.5,14.4,82,46,  0.0,7.7,090,25.5,1990
7,09,1017.6,21.3,18.6,16.5,15.8,84,32,  0.0,6.9,090,15.4,1990
7,10,1016.8,22.1,18.6,16.5,15.5,83,24,  0.0,10.0, 080#, 13.6#,1990
7,11,1019.1,19.1,17.8,16.7,14.4,81,59,Trace,5.2,080,31.7,1990
7,12,1020.0,20.9,18.5,16.9,15.8,85,37,  0.0,7.5,070,15.5,1990
7,13,1018.8,18.3,17.4,16.6,14.2,82,88,Trace,0.0,090,36.5,1990
7,14,1016.0,17.8,17.0,16.2,14.0,82,88,Trace,0.3,080,34.6,1990
7,15,1015.3,20.2,16.6,12.7,14.4,87,94,  3.3,0.2,360,24.9,1990
7,16,1019.5,14.5,12.9,10.4, 7.5,70,82,Trace,2.1, 010#, 27.2#,1990
7,17,1016.9,16.0,14.6,12.9,10.7,77,86,Trace,1.7,070,33.8,1990
7,18,1014.4,18.0,16.7,15.2,14.7,88,87,  1.3,0.2,080,25.8,1990
7,19,1018.5,18.0,15.9,13.5,14.6,92,99,  6.7,0.0,010,24.1,1990
7,20,1023.2,13.9,12.1,10.9, 9.5,84,98,  0.3,0.0,010,32.2,1990
7,21,1022.0,14.5,12.7,10.2,10.2,85,98,  0.6,0.0,060,24.5,1990
7,22,1021.0,15.4,14.0,12.0,11.6,85,100,  0.3,0.0, 010#, 24.1#,1990
7,23,1023.8,13.2,11.4, 8.9, 7.7,78,91,  1.6,0.0,360,35.6,1990
7,24,1022.2,15.5,13.5,11.4, 7.8,69,78,Trace,4.5,080,37.3,1990
7,25,1022.9,17.2,14.8,12.3,10.4,75,71,  0.9,6.8,070,31.3,1990
7,26,1023.6,18.3,15.9,14.4,11.9,77,82,Trace,3.1,080,31.4,1990
7,27,1022.3,19.1,16.3,14.1,12.1,77,41,  0.0,9.6,080,23.1,1990
7,28,1019.6,20.2,17.8,16.0,13.4,75,82,Trace,1.2,050,17.5,1990
7,29,1018.9,20.0,18.0,16.5,17.0,94,97,  9.6,0.3, 020#, 19.4#,1990
8,01,1016.1,17.4,16.1,14.6,14.5,90,98,  0.4,0.0,070,24.4,1990
8,02,1019.0,17.4,15.9,14.5,13.4,85,93,  3.0,0.3,010,24.9,1990
8,03,1022.0,17.2,15.8,14.7,12.0,78,84,  0.0,2.2,070,31.4,1990
8,04,1022.4,16.8,15.9,15.3,11.1,74,83,  0.0,3.1,080,36.2,1990
8,05,1021.4,18.2,16.9,15.6,12.6,76,83,  0.1,5.5,070,27.8,1990
8,06,1022.5,19.4,17.7,16.3,14.2,80,86,Trace,3.4,080,21.6,1990
8,07,1023.1,19.8,17.4,16.0,12.8,75,59,Trace,5.4,090,35.9,1990
8,08,1020.1,19.4,17.6,16.5,14.4,82,46,  0.0,7.7,090,25.5,1990
8,09,1017.6,21.3,18.6,16.5,15.8,84,32,  0.0,6.9,090,15.4,1990
8,10,1016.8,22.1,18.6,16.5,15.5,83,24,  0.0,10.0, 080#, 13.6#,1990
8,11,1019.1,19.1,17.8,16.7,14.4,81,59,Trace,5.2,080,31.7,1990
8,12,1020.0,20.9,18.5,16.9,15.8,85,37,  0.0,7.5,070,15.5,1990
8,13,1018.8,18.3,17.4,16.6,14.2,82,88,Trace,0.0,090,36.5,1990
8,14,1016.0,17.8,17.0,16.2,14.0,82,88,Trace,0.3,080,34.6,1990
8,15,1015.3,20.2,16.6,12.7,14.4,87,94,  3.3,0.2,360,24.9,1990
8,16,1019.5,14.5,12.9,10.4, 7.5,70,82,Trace,2.1, 010#, 27.2#,1990
8,17,1016.9,16.0,14.6,12.9,10.7,77,86,Trace,1.7,070,33.8,1990
8,18,1014.4,18.0,16.7,15.2,14.7,88,87,  1.3,0.2,080,25.8,1990
8,19,1018.5,18.0,15.9,13.5,14.6,92,99,  6.7,0.0,010,24.1,1990
8,20,1023.2,13.9,12.1,10.9, 9.5,84,98,  0.3,0.0,010,32.2,1990
8,21,1022.0,14.5,12.7,10.2,10.2,85,98,  0.6,0.0,060,24.5,1990
8,22,1021.0,15.4,14.0,12.0,11.6,85,100,  0.3,0.0, 010#, 24.1#,1990
8,23,1023.8,13.2,11.4, 8.9, 7.7,78,91,  1.6,0.0,360,35.6,1990
8,24,1022.2,15.5,13.5,11.4, 7.8,69,78,Trace,4.5,080,37.3,1990
8,25,1022.9,17.2,14.8,12.3,10.4,75,71,  0.9,6.8,070,31.3,1990
8,26,1023.6,18.3,15.9,14.4,11.9,77,82,Trace,3.1,080,31.4,1990
8,27,1022.3,19.1,16.3,14.1,12.1,77,41,  0.0,9.6,080,23.1,1990
8,28,1019.6,20.2,17.8,16.0,13.4,75,82,Trace,1.2,050,17.5,1990
8,29,1018.9,20.0,18.0,16.5,17.0,94,97,  9.6,0.3, 020#, 19.4#,1990
9,01,1016.1,17.4,16.1,14.6,14.5,90,98,  0.4,0.0,070,24.4,1990
9,02,1019.0,17.4,15.9,14.5,13.4,85,93,  3.0,0.3,010,24.9,1990
9,03,1022.0,17.2,15.8,14.7,12.0,78,84,  0.0,2.2,070,31.4,1990
9,04,1022.4,16.8,15.9,15.3,11.1,74,83,  0.0,3.1,080,36.2,1990
9,05,1021.4,18.2,16.9,15.6,12.6,76,83,  0.1,5.5,070,27.8,1990
9,06,1022.5,19.4,17.7,16.3,14.2,80,86,Trace,3.4,080,21.6,1990
9,07,1023.1,19.8,17.4,16.0,12.8,75,59,Trace,5.4,090,35.9,1990
9,08,1020.1,19.4,17.6,16.5,14.4,82,46,  0.0,7.7,090,25.5,1990
9,09,1017.6,21.3,18.6,16.5,15.8,84,32,  0.0,6.9,090,15.4,1990
9,10,1016.8,22.1,18.6,16.5,15.5,83,24,  0.0,10.0, 080#, 13.6#,1990
9,11,1019.1,19.1,17.8,16.7,14.4,81,59,Trace,5.2,080,31.7,1990
9,12,1020.0,20.9,18.5,16.9,15.8,85,37,  0.0,7.5,070,15.5,1990
9,13,1018.8,18.3,17.4,16.6,14.2,82,88,Trace,0.0,090,36.5,1990
9,14,1016.0,17.8,17.0,16.2,14.0,82,88,Trace,0.3,080,34.6,1990
9,15,1015.3,20.2,16.6,12.7,14.4,87,94,  3.3,0.2,360,24.9,1990
9,16,1019.5,14.5,12.9,10.4, 7.5,70,82,Trace,2.1, 010#, 27.2#,1990
9,17,1016.9,16.0,14.6,12.9,10.7,77,86,Trace,1.7,070,33.8,1990
9,18,1014.4,18.0,16.7,15.2,14.7,88,87,  1.3,0.2,080,25.8,1990
9,19,1018.5,18.0,15.9,13.5,14.6,92,99,  6.7,0.0,010,24.1,1990
9,20,1023.2,13.9,12.1,10.9, 9.5,84,98,  0.3,0.0,010,32.2,1990
9,21,1022.0,14.5,12.7,10.2,10.2,85,98,  0.6,0.0,060,24.5,1990
9,22,1021.0,15.4,14.0,12.0,11.6,85,100,  0.3,0.0, 010#, 24.1#,1990
9,23,1023.8,13.2,11.4, 8.9, 7.7,78,91,  1.6,0.0,360,35.6,1990
9,24,1022.2,15.5,13.5,11.4, 7.8,69,78,Trace,4.5,080,37.3,1990
9,25,1022.9,17.2,14.8,12.3,10.4,75,71,  0.9,6.8,070,31.3,1990
9,26,1023.6,18.3,15.9,14.4,11.9,77,82,Trace,3.1,080,31.4,1990
9,27,1022.3,19.1,16.3,14.1,12.1,77,41,  0.0,9.6,080,23.1,1990
9,28,1019.6,20.2,17.8,16.0,13.4,75,82,Trace,1.2,050,17.5,1990
10,01,1016.1,17.4,16.1,14.6,14.5,90,98,  0.4,0.0,070,24.4,1990
10,02,1019.0,17.4,15.9,14.5,13.4,85,93,  3.0,0.3,010,24.9,1990
10,03,1022.0,17.2,15.8,14.7,12.0,78,84,  0.0,2.2,070,31.4,1990
10,04,1022.4,16.8,15.9,15.3,11.1,74,83,  0.0,3.1,080,36.2,1990
10,05,1021.4,18.2,16.9,15.6,12.6,76,83,  0.1,5.5,070,27.8,1990
10,06,1022.5,19.4,17.7,16.3,14.2,80,86,Trace,3.4,080,21.6,1990
10,07,1023.1,19.8,17.4,16.0,12.8,75,59,Trace,5.4,090,35.9,1990
10,08,1020.1,19.4,17.6,16.5,14.4,82,46,  0.0,7.7,090,25.5,1990
10,09,1017.6,21.3,18.6,16.5,15.8,84,32,  0.0,6.9,090,15.4,1990
10,10,1016.8,22.1,18.6,16.5,15.5,83,24,  0.0,10.0, 080#, 13.6#,1990
10,11,1019.1,19.1,17.8,16.7,14.4,81,59,Trace,5.2,080,31.7,1990
10,12,1020.0,20.9,18.5,16.9,15.8,85,37,  0.0,7.5,070,15.5,1990
10,13,1018.8,18.3,17.4,16.6,14.2,82,88,Trace,0.0,090,36.5,1990
10,14,1016.0,17.8,17.0,16.2,14.0,82,88,Trace,0.3,080,34.6,1990
10,15,1015.3,20.2,16.6,12.7,14.4,87,94,  3.3,0.2,360,24.9,1990
10,16,1019.5,14.5,12.9,10.4, 7.5,70,82,Trace,2.1, 010#, 27.2#,1990
10,17,1016.9,16.0,14.6,12.9,10.7,77,86,Trace,1.7,070,33.8,1990
10,18,1014.4,18.0,16.7,15.2,14.7,88,87,  1.3,0.2,080,25.8,1990
10,19,1018.5,18.0,15.9,13.5,14.6,92,99,  6.7,0.0,010,24.1,1990
10,20,1023.2,13.9,12.1,10.9, 9.5,84,98,  0.3,0.0,010,32.2,1990
10,21,1022.0,14.5,12.7,10.2,10.2,85,98,  0.6,0.0,060,24.5,1990
10,22,1021.0,15.4,14.0,12.0,11.6,85,100,  0.3,0.0, 010#, 24.1#,1990
10,23,1023.8,13.2,11.4, 8.9, 7.7,78,91,  1.6,0.0,360,35.6,1990
10,24,1022.2,15.5,13.5,11.4, 7.8,69,78,Trace,4.5,080,37.3,1990
10,25,1022.9,17.2,14.8,12.3,10.4,75,71,  0.9,6.8,070,31.3,1990
10,26,1023.6,18.3,15.9,14.4,11.9,77,82,Trace,3.1,080,31.4,1990
10,27,1022.3,19.1,16.3,14.1,12.1,77,41,  0.0,9.6,080,23.1,1990
10,28,1019.6,20.2,17.8,16.0,13.4,75,82,Trace,1.2,050,17.5,1990
10,29,1018.9,20.0,18.0,16.5,17.0,94,97,  9.6,0.3, 020#, 19.4#,1990
11,01,1016.1,17.4,16.1,14.6,14.5,90,98,  0.4,0.0,070,24.4,1990
11,02,1019.0,17.4,15.9,14.5,13.4,85,93,  3.0,0.3,010,24.9,1990
11,03,1022.0,17.2,15.8,14.7,12.0,78,84,  0.0,2.2,070,31.4,1990
11,04,1022.4,16.8,15.9,15.3,11.1,74,83,  0.0,3.1,080,36.2,1990
11,05,1021.4,18.2,16.9,15.6,12.6,76,83,  0.1,5.5,070,27.8,1990
11,06,1022.5,19.4,17.7,16.3,14.2,80,86,Trace,3.4,080,21.6,1990
11,07,1023.1,19.8,17.4,16.0,12.8,75,59,Trace,5.4,090,35.9,1990
11,08,1020.1,19.4,17.6,16.5,14.4,82,46,  0.0,7.7,090,25.5,1990
11,09,1017.6,21.3,18.6,16.5,15.8,84,32,  0.0,6.9,090,15.4,1990
